profession,N,N_stu,study,rl_sm,group1,group2,pL_creative,pL_control,lower,effect,upper,p,I2,comparison,model_type,label,es_type,se
Architecture,7,7,NA,NA,NA,NA,NA,NA,0.8129486714594739,0.9661887436971602,1.1483144277376844,0.6962561308562313,".00 [.00, .71]",NA,random (all),glmer,OR,NA
Architecture,NA,NA,shettel-neuber_1983,S/M,Architecture,"Law, Psychology","0/23
(0%)","2/55
(3.64%)",0,0,4.73704496995417,0.8878804135346339,NA,(SR+SL)/M,NA,NA,OR,1.2084520448639307
Architecture,NA,NA,nlsy79,S/M,"Architects, except naval","Non-art, architecture, music","0/9
(0%)","120/5468
(2.19%)",0,0,19.16490042454868,0.9999999999999944,NA,(SR+SL)/M,NA,NA,OR,4.889095048612877
Architecture,NA,NA,nlsy97,S/M,"Architects, except naval","Non-art, architecture, music","0/4
(0%)","635/6090
(10.43%)",0,0,8.270637534727623,0.999999999999984,NA,(SR+SL)/M,NA,NA,OR,2.1098952837820897
Architecture,NA,NA,gotestam_1990,S/M,Architecture (freshmen),HS seniors,"45/60
(75%)","69/87
(79.31%)",0.3602012540648349,0.7826086956521738,1.6986740026570253,0.678506486761815,NA,(SR+SL)/M,NA,NA,OR,0.34145340402933244
Architecture,NA,NA,cosenza_1993,S/M,Architecture applicants,Non-art/music/ architecture applicants,"179/526
(34.03%)","5583/16005
(34.88%)",0.8017066644557878,0.9629572276068612,1.1566407806148775,0.7209422627809424,NA,(SR+SL)/M,NA,NA,OR,0.09054608119301295
Architecture,NA,NA,schacter_1996,S/M,Architects,Non-architects,"7/148
(4.73%)","41/1048
(3.91%)",0.5473601245151203,1.2193392146687425,2.719004987562442,0.8020982768572056,NA,(SR+SL)/M,NA,NA,OR,0.5540012163940204
Architecture,NA,NA,wood_1991,S/M,Architecture students (W),General students (W),"2/27
(7.41%)","2/149
(1.34%)",0.9852025923255048,5.880000000000001,35.16391820754979,0.21350871733089263,NA,(SR+SL)/M,NA,NA,OR,8.719220323644118
Art,8,8,NA,NA,NA,NA,NA,NA,1.4977651180160496,1.8358378643058026,2.2502197597465847,4.908814871773019e-9,".71 [.40, .86]",NA,random (all),glmer,OR,NA
Art,NA,NA,shettel-neuber_1983,S/M,Art,"Law, Psychology","1/31
(3.23%)","2/55
(3.64%)",0.11065124188794642,0.8833333333333333,7.172528176703782,0.9999999999999992,NA,(SR+SL)/M,NA,NA,OR,1.8015323216444337
Art,NA,NA,nlsy79,S/M,Artistic occupations,"Non-art, architecture, music","1/43
(2.33%)","120/5468
(2.19%)",0.18301948496949969,1.0611111111111111,6.164424677779595,0.999999999999885,NA,(SR+SL)/M,NA,NA,OR,1.5258967103453578
Art,NA,NA,nlsy97,S/M,Artistic occupations,"Non-art, architecture, music","9/78
(11.54%)","636/6091
(10.44%)",0.5628134985924408,1.1187448728465956,2.223809652132884,0.8978536128354225,NA,(SR+SL)/M,NA,NA,OR,0.42373129471821147
Art,NA,NA,cosenza_1993,S/M,Fine Arts applicants,Non-art/music/ architecture applicants,"20/51
(39.22%)","5583/16005
(34.88%)",0.6906362021304807,1.2043472985387669,2.100168527255386,0.6163549946233768,NA,(SR+SL)/M,NA,NA,OR,0.3595811801245117
Art,NA,NA,giotakos_2004,S/M,Art Hobbies,Non-Art Hobbies,"84/184
(45.65%)","256/695
(36.83%)",1.0374593836197326,1.44046875,2.000030316837074,0.03584422620317389,NA,(SR+SL)/M,NA,NA,OR,0.24555832168600508
Art,NA,NA,mebert_1980,S/M,Art,Non-Art,"28/103
(27.18%)","15/101
(14.85%)",1.0692982716794257,2.1404444444444444,4.280307576921791,0.04685111984715034,NA,(SR+SL)/M,NA,NA,OR,0.8191500789224695
Art,NA,NA,coren_1982,S/M,Science/Visual  Art,Lang/Lit,"69/225
(30.67%)","21/262
(8.02%)",3.00245314669162,5.076007326007326,8.581599483765876,2.9071375193683087e-10,NA,SR/(M+SL),NA,NA,OR,1.4232777696635888
Art,NA,NA,preti_2007,S/M,"Writers, Painters",Noncreatives,"8/50
(16%)","2/80
(2.5%)",1.679874227567736,7.428571428571429,32.36105546437163,0.01343676442686773,NA,(SR+SL)/M,NA,NA,OR,7.826975770680774
Music,11,8,NA,NA,NA,NA,NA,NA,1.2462114626104153,1.4172758222850208,1.6118217627577887,1.07338740240142e-7,".10 [.00, .50]",NA,random (all),glmer,OR,NA
Music,NA,NA,nlsy79,S/M,Musicians and composers,"Non-art, architecture, music","0/12
(0%)","120/5468
(2.19%)",0,0,14.35681736173924,0.9999999999997384,NA,(SR+SL)/M,NA,NA,OR,3.662520708284435
Music,NA,NA,nlsy97,S/M,"Musicians, singers and related workers","Non-art, architecture, music","0/11
(0%)","635/6090
(10.43%)",0,0,3.004820278474173,0.5239108358746846,NA,(SR+SL)/M,NA,NA,OR,0.7665498708588048
Music,NA,NA,gotestam_1990,S/M,Music (freshmen),HS seniors,"65/88
(73.86%)","69/87
(79.31%)",0.36646580125752326,0.7372400756143668,1.4846308991289554,0.5015247081209606,NA,(SR+SL)/M,NA,NA,OR,0.28525143999873875
Music,NA,NA,byrne_1974,S/M,Singers,General students,"25/134
(18.66%)","186/864
(21.53%)",0.5271876378043221,0.8360461675051791,1.3258527781706764,0.5198061829648812,NA,(SR+SL)/M,NA,NA,OR,0.20374485109576584
Music,NA,NA,giotakos_2004,S/M,Art Hobbies,Non-Art Hobbies,"84/184
(45.65%)","256/695
(36.83%)",1.0374593836197326,1.44046875,2.000030316837074,0.03584422620317389,NA,(SR+SL)/M,NA,NA,OR,0.24555832168600508
Music,NA,NA,aggleton_1994,S/M,Composers,British adults,"52/331
(15.71%)","169/1538
(10.99%)",1.0787244594209204,1.5097877033360905,2.1131057975347303,0.02036726208125058,NA,(SR+SL)/(ML+MR),NA,NA,OR,0.26387763914869816
