profession,N,N_stu,study,rl_sm,group1,group2,pL_creative,pL_control,lower,effect,upper,p,I2,comparison,model_type,label,es_type,se
Architecture,17,9,NA,NA,NA,NA,NA,NA,0.913652159912426,1.0440667488642696,1.1930966990637772,0.5264403092413353,".20 [.00, .55]",NA,random (all),glmer,OR,NA
Architecture,NA,NA,shettel-neuber_1983,S/M,Architecture,"Law, Psychology","0/23
(0%)","2/55
(3.64%)",0,0,4.73704496995417,0.8878804135346339,NA,(SR+SL)/M,NA,NA,OR,1.2084520448639307
Architecture,NA,NA,nlsy79,R/L,"Architects, except naval","Non-art, architecture, music","0/9
(0%)","722/5468
(13.2%)",0,0,2.812404646828982,0.49847179896801425,NA,R/L,NA,NA,OR,0.7174633485647879
Architecture,NA,NA,nlsy79,S/M,"Architects, except naval","Non-art, architecture, music","0/9
(0%)","120/5468
(2.19%)",0,0,19.16490042454868,0.9999999999999944,NA,(SR+SL)/M,NA,NA,OR,4.889095048612877
Architecture,NA,NA,nlsy97,R/L,"Architects, except naval","Non-art, architecture, music","0/4
(0%)","1183/6090
(19.43%)",0,0,3.9911358049918815,0.7266004053194707,NA,SR/SL,NA,NA,OR,1.018165598060335
Architecture,NA,NA,nlsy97,S/M,"Architects, except naval","Non-art, architecture, music","0/4
(0%)","635/6090
(10.43%)",0,0,8.270637534727623,0.999999999999984,NA,(SR+SL)/M,NA,NA,OR,2.1098952837820897
Architecture,NA,NA,wood_1991,R/L,Architecture students (W),General students (W),"1/27
(3.7%)","22/149
(14.77%)",0.0366109225183829,0.22202797202797203,1.3695693528676298,0.20812020889393532,NA,SR/SL,NA,NA,OR,0.340046664342675
Architecture,NA,NA,shettel-neuber_1983,R/L,Architecture,"Law, Psychology","1/23
(4.35%)","5/53
(9.43%)",0.06394850410281205,0.43636363636363634,3.095962818479696,0.7699735137949588,NA,SR/SL,NA,NA,OR,0.7734872523916324
Architecture,NA,NA,gotestam_1990,R/L,Architecture (freshmen),HS seniors,"7/60
(11.67%)","14/87
(16.09%)",0.2663716892481048,0.6886792452830189,1.7876489360091363,0.6073794573020829,NA,(SR+MR)/(SL+ML),NA,NA,OR,0.38808806150538294
Architecture,NA,NA,gotestam_1990,S/M,Architecture (freshmen),HS seniors,"45/60
(75%)","69/87
(79.31%)",0.3602012540648349,0.7826086956521738,1.6986740026570253,0.678506486761815,NA,(SR+SL)/M,NA,NA,OR,0.34145340402933244
Architecture,NA,NA,wood_1991,R/L,Architecture students (M),General students (M),"9/78
(11.54%)","28/221
(12.67%)",0.41009696052266625,0.8990683229813665,1.974999532741936,0.9514684627728944,NA,SR/SL,NA,NA,OR,0.3992171755611384
Architecture,NA,NA,cosenza_1993,S/M,Architecture applicants,Non-art/music/ architecture applicants,"179/526
(34.03%)","5583/16005
(34.88%)",0.8017066644557878,0.9629572276068612,1.1566407806148775,0.7209422627809424,NA,(SR+SL)/M,NA,NA,OR,0.09054608119301295
