Cites	Authors	Title	Year	Source	Publisher	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	ArticleURL	FullTextURL	RelatedURL	search_batch	Abstract - Relevant?	Unique?	AUT? (Does the study include new AUT data?)	Lefties? (Were at least 3 lefties given the AUT?)	Stats - can get ES for left vs. right?	Text - Relevant?	Details	Request?
14	JI Fleck, DA Braun	The impact of eye movements on a verbal creativity task	2015	Journal of Cognitive Psychology	Taylor &Francis	https://scholar.google.com/scholar?cites=7285160380361038616&as_sdt=2005&sciodt=2007&hl=en	48	2023-05-25T13:48:18Z	NA	10.1080/20445911.2015.1036057	NA	NA	NA	NA	NA	NA	14	1.75	7	2	8	… Due to the inconsistency of EM effects on weak-handed participants in prior research, we elected to control for handedness in the present research and limited our analyses to …	https://www.tandfonline.com/doi/abs/10.1080/20445911.2015.1036057	https://www.tandfonline.com/doi/pdf/10.1080/20445911.2015.1036057	https://scholar.google.com/scholar?q=related:GFsre8QWGmUJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
1	R Jończyk, DS Dickson, TS Bel-Bahar, GE Kremer…	How stereotype threat affects the brain dynamics of creative thinking in female students	2022	Neuropsychologia	Elsevier	https://scholar.google.com/scholar?cites=15695757256460506566&as_sdt=2005&sciodt=2007&hl=en	49	2023-05-25T13:48:18Z	HTML	NA	NA	NA	NA	NA	NA	NA	1	1	0	5	1	… While EEG was recorded, participants performed two experimental tasks: the Alternate Uses task (AUT) and the Utopian Situations task (UST). In the AUT, participants were asked to …	https://www.sciencedirect.com/science/article/pii/S0028393222001658	https://www.sciencedirect.com/science/article/pii/S0028393222001658	https://scholar.google.com/scholar?q=related:xpUWqBCI0tkJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
53	D Kirsh	The importance of chance and interactivity in creativity	2014	Pragmatics &Cognition	jbe-platform.com	https://scholar.google.com/scholar?cites=10444552280594413727&as_sdt=2005&sciodt=2007&hl=en	50	2023-05-25T13:48:18Z	NA	10.1075/pc.22.1.01kir	NA	NA	NA	NA	NA	NA	53	5.89	53	1	9	… a brief questionnaire about their experience with word games, education and handedness. … In the case of the Alternate Uses Task, the ticker letters might be used as a constraint: For …	https://www.jbe-platform.com/content/journals/10.1075/pc.22.1.01kir	https://www.ingentaconnect.com/content/jbp/pc/2014/00000022/00000001/art00002?crawler=true&mimetype=application/pdf	https://scholar.google.com/scholar?q=related:n3jTKvaA8pAJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
1	X Wu, Q Chen, X Wang, Z Ren, D Wei, J Sun…	Structural properties of corpus callosum are associated differently with verbal creativity and visual creativity	2021	Brain Structure and …	Springer	https://scholar.google.com/scholar?cites=13231453925444244754&as_sdt=2005&sciodt=2007&hl=en	52	2023-05-25T13:48:18Z	HTML	10.1007/s00429-021-02329-1	NA	NA	NA	NA	NA	NA	1	0.5	0	7	2	… al. found those with mixed handedness were generally have higher inter-hemispheric interaction, performed better in the Alternate Uses Task (AUT, a classical test of divergent thinking)…	https://link.springer.com/article/10.1007/s00429-021-02329-1	https://link.springer.com/article/10.1007/s00429-021-02329-1	https://scholar.google.com/scholar?q=related:ElUN8D2Rn7cJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
13	WF Whisenant	Bilateral EEG biofeedback and creativity.	1976	NA	search.proquest.com	https://scholar.google.com/scholar?cites=9652460485307893043&as_sdt=2005&sciodt=2007&hl=en	53	2023-05-25T13:48:18Z	BOOK	NA	NA	NA	NA	NA	NA	NA	13	0.28	13	1	47	… test to screen out any subjects who were left handed or showed signs of ambidexterity. They … RU conditions decrement one of the Spatial tasks relative to the Verbal Alternate Uses task. …	https://search.proquest.com/openview/c79b3f2145cebed8aba378450d1da85b/1?pq-origsite=gscholar&cbl=18750&diss=y	https://search.proquest.com/openview/c79b3f2145cebed8aba378450d1da85b/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?q=related:M4VFo6tt9IUJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
1	C Carter	The relationship between cognitive inhibition, mental illness, and creativity	2015	NA	rdw.rowan.edu	https://scholar.google.com/scholar?cites=17918694895673656914&as_sdt=2005&sciodt=2007&hl=en	55	2023-05-25T13:48:18Z	NA	NA	NA	NA	NA	NA	NA	NA	1	0.13	1	1	8	The current study explored how the symptom severity of the affective and schizophrenia spectrums related to performance on a divergent thinking task and self-reports of creative …	https://rdw.rowan.edu/etd/263/	https://rdw.rowan.edu/cgi/viewcontent.cgi?article=1262&context=etd	https://scholar.google.com/scholar?q=related:UsY7_xH-q_gJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
9	NV Shemyakina, ZV Nagornova	EEG “signs” of verbal creative task fulfillment with and without overcoming self-induced stereotypes	2019	Behavioral Sciences	mdpi.com	https://scholar.google.com/scholar?cites=4032892113781174218&as_sdt=2005&sciodt=2007&hl=en	56	2023-05-25T13:48:18Z	NA	NA	NA	NA	NA	NA	NA	NA	9	2.25	5	2	4	… In the research of [33], EEG desynchronization in the alpha band (7.5–12.5 Hz) was observed during the alternate uses task and a word association task compared to the prestimulus …	https://www.mdpi.com/606180	https://www.mdpi.com/2076-328X/10/1/17/pdf	https://scholar.google.com/scholar?q=related:yq9mowK29zcJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
141	C Mohr, G Claridge	Schizotypy—do not worry, it is not all worrisome	2015	Schizophrenia bulletin	academic.oup.com	https://scholar.google.com/scholar?cites=10717739543093867577&as_sdt=2005&sciodt=2007&hl=en	57	2023-05-25T13:48:18Z	NA	NA	NA	NA	NA	NA	NA	NA	141	17.63	71	2	8	… To test for divergent thinking abilities, researchers frequently apply tests such as the alternate uses task (AUT) 52 in which participants list as many possible uses for common items (eg, …	https://academic.oup.com/schizophreniabulletin/article-abstract/41/suppl_2/S436/2413848	https://academic.oup.com/schizophreniabulletin/article-pdf/41/suppl_2/S436/7376653/sbu185.pdf	https://scholar.google.com/scholar?q=related:OXREVVQPvZQJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
5	J PeÑa, A Sampedro…	The effect of changing the balance between right and left dorsolateral prefrontal cortex on different creativity tasks: A transcranial random noise stimulation study	2021	The Journal of …	Wiley Online Library	https://scholar.google.com/scholar?cites=18429813606258202792&as_sdt=2005&sciodt=2007&hl=en	58	2023-05-25T13:48:18Z	NA	10.1002/jocb.496	NA	NA	NA	NA	NA	NA	5	2.5	2	3	2	… The Edinburgh Handedness Inventory was then administered. Baseline creativity assessment was carried out before starting tRNS stimulation (active or sham). Participants had 2 min …	https://onlinelibrary.wiley.com/doi/abs/10.1002/jocb.496	NA	https://scholar.google.com/scholar?q=related:qFiuXdTZw_8J:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
66	DL Zabelina, D Condon, M Beeman	Do dimensional psychopathology measures relate to creative achievement or divergent thinking?	2014	Frontiers in psychology	frontiersin.org	https://scholar.google.com/scholar?cites=7080780144858141444&as_sdt=2005&sciodt=2007&hl=en	59	2023-05-25T13:48:18Z	HTML	10.3389/fpsyg.2014.01029	NA	NA	NA	NA	NA	NA	66	7.33	22	3	9	… A common example is the alternate uses task, which requires generating creative uses for common objects such as a brick. The process of divergent thinking corresponds to the general …	https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01029/full	https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01029/full	https://scholar.google.com/scholar?q=related:BJPosgb8Q2IJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
55	Q Chen, RE Beaty, Z Cui, J Sun, H He, K Zhuang…	Brain hemispheric involvement in visuospatial and verbal divergent thinking	2019	Neuroimage	Elsevier	https://scholar.google.com/scholar?cites=10332713832636603730&as_sdt=2005&sciodt=2007&hl=en	60	2023-05-25T13:48:18Z	HTML	NA	NA	NA	NA	NA	NA	NA	55	13.75	8	7	4	… In total, 684 subjects completed the creative ability tests, in which 11 subjects were excluded for being left-handed; 113 subjects were excluded due to issues from brain images, …	https://www.sciencedirect.com/science/article/pii/S1053811919306536	https://www.sciencedirect.com/science/article/pii/S1053811919306536	https://scholar.google.com/scholar?q=related:Ut0RWHwsZY8J:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
0	TC Handy, TD Ben-Soussan, A Angeli…	Quadrato Motor Training (QMT) is a whole-body movement contemplative practice aimed at increasing health and well-being. Previous research studying the effect of …	2017	… Practice, and Health	books.google.com	NA	64	2023-05-25T13:48:18Z	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	4	6	… Results Alternate Uses Task Similar to the results of Study A, flexibility significantly … Cerebral asymmetry and the effects of sex and handedness on brain structure: a voxel-based …	https://books.google.com/books?hl=en&lr=&id=fxEuDwAAQBAJ&oi=fnd&pg=PA267&dq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&ots=R6wMcHdWmN&sig=WA0jgi3H3cVbzSqzP8VW_3f3ChE	NA	https://scholar.google.com/scholar?q=related:munTZdz_a4UJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
0	JM Gasparini	An Electroencephalographic (EEG) Study of Hypofrontality during Music Induced Flow Experiences	2018	NA	search.proquest.com	NA	66	2023-05-25T13:48:18Z	HTML	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	5	… version of the alternate uses task, using a between subjects design. Divergent and convergent thinking was operationalized as contrasting responses on the alternate uses task. Two …	https://search.proquest.com/openview/860b4308d606e81dd46e8ce1bda709ee/1?pq-origsite=gscholar&cbl=18750	https://search.proquest.com/openview/860b4308d606e81dd46e8ce1bda709ee/1?pq-origsite=gscholar&cbl=18750	https://scholar.google.com/scholar?q=related:v6ZEoPx7JEkJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
5	C Carter, RW Hass, M Charfadi…	Probing linear and nonlinear relations among schizotypy, hypomania, cognitive inhibition, and creativity	2019	Creativity Research …	Taylor &Francis	https://scholar.google.com/scholar?cites=12183741142097069864&as_sdt=2005&sciodt=2007&hl=en	69	2023-05-25T13:48:18Z	NA	10.1080/10400419.2019.1580091	NA	NA	NA	NA	NA	NA	5	1.25	1	4	4	… The HCL-32 correlated negatively with the WKCT alternate uses task (ρ = −.19, p = .02), and the WKCT pattern meaning task (ρ = −.17, p = .04). SPQ-disorganized scores were …	https://www.tandfonline.com/doi/abs/10.1080/10400419.2019.1580091	https://www.tandfonline.com/doi/pdf/10.1080/10400419.2019.1580091	https://scholar.google.com/scholar?q=related:KAcCOgRYFakJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
0	P Sebastian	Exploring the boundaries of embodied cognition and conceptual metaphor theory	2021	NA	acuresearchbank.acu.edu.au	NA	71	2023-05-25T13:48:18Z	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	2	Embodied cognition is an approach to cognition which suggests that our bodies and their actions play a fundamental role in the processing of information including perception, planning…	https://acuresearchbank.acu.edu.au/item/8w6z9/exploring-the-boundaries-of-embodied-cognition-and-conceptual-metaphor-theory	https://acuresearchbank.acu.edu.au/download/05a90c02d0e0eb2876f2e99ba189ec7dab4e9a2371c40e0ac2c9a5f38c970780/2437742/Sebastian_2021_Exploring_the_boundaries_of_embodied_cognition_%5BREDACTED%5D.pdf	https://scholar.google.com/scholar?q=related:AGvH25cUwJ0J:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
0	KJ Pfeifer	2oi	2016	NA	sfsu-dspace.calstate.edu	NA	73	2023-05-25T13:48:18Z	PDF	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	7	… Specifically, working with a small sample size is extremely biased of creative responses on the alternate uses task. That is, in a small sample of 33 individuals most responses may be …	http://sfsu-dspace.calstate.edu/bitstream/handle/10211.3/181555/AS362016PSYCHP44.pdf?sequence=1	http://sfsu-dspace.calstate.edu/bitstream/handle/10211.3/181555/AS362016PSYCHP44.pdf?sequence=1	https://scholar.google.com/scholar?q=related:naFsrDG0RfgJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
0	B Rutter	Creativity and the brain: an investigation of the neural correlates of creative thinking	2014	NA	geb.uni-giessen.de	NA	74	2023-05-25T13:48:18Z	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	9	… brain activity during the Alternate Uses task with an Object … in the left angular gyrus for the Alternate Uses task (Fink et al., 2009; … When comparing activation for the Alternate Uses task …	http://geb.uni-giessen.de/geb/volltexte/2014/10926/	http://geb.uni-giessen.de/geb/volltexte/2014/10926/pdf/RutterBarbara_2014_06_16.pdf	https://scholar.google.com/scholar?q=related:nR-7LgT8HncJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
4	Y Hu, J Ouyang, H Wang, J Zhang, A Liu…	Design meets neuroscience: An electroencephalogram study of design thinking in concept generation phase	2022	Frontiers in …	ncbi.nlm.nih.gov	https://scholar.google.com/scholar?cites=6237606786632722867&as_sdt=2005&sciodt=2007&hl=en	77	2023-05-25T13:48:18Z	HTML	NA	NA	NA	NA	NA	NA	NA	4	4	1	6	1	Extant research on design thinking is subjective and limited. This manuscript combines protocol analysis and electroencephalogram (EEG) to read design thoughts in the core design …	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8928580/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8928580/	https://scholar.google.com/scholar?q=related:synP_VJukFYJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
0	OM Kleinmintz	Expertise in Improvisation and Creativity: a Neurocognitive Model	2016	NA	search.proquest.com	NA	81	2023-05-25T13:48:18Z	BOOK	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	7	A creative output should be both novel and appropriate. According to the twofold model of creativity, the creative process consists of an idea generation phase, in which new ideas are …	https://search.proquest.com/openview/f1594803016c7c04a7c22d6915ea3778/1?pq-origsite=gscholar&cbl=2026366&diss=y	https://search.proquest.com/openview/f1594803016c7c04a7c22d6915ea3778/1?pq-origsite=gscholar&cbl=2026366&diss=y	https://scholar.google.com/scholar?q=related:X9NHJEuVY28J:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
3	B Wang, H Zhou, H Duan, X Wang…	Highly creative individuals process creative pictorial information more effectively: Evidence from an ERP Study	2021	Creativity Research …	Taylor &Francis	https://scholar.google.com/scholar?cites=8761965644666603944&as_sdt=2005&sciodt=2007&hl=en	82	2023-05-25T13:48:18Z	NA	10.1080/10400419.2020.1856613	NA	NA	NA	NA	NA	NA	3	1.5	1	5	2	The present study aimed to explore the neural-related mechanism of the creative evaluation process in individual with different levels of creativity. The time course of evaluation process …	https://www.tandfonline.com/doi/abs/10.1080/10400419.2020.1856613	https://www.tandfonline.com/doi/pdf/10.1080/10400419.2020.1856613	https://scholar.google.com/scholar?q=related:qImHuFTBmHkJ:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
0	H Bruett	The Neural and Cognitive Bases of Ambiguous and Unambiguous Conceptual Combination	2021	NA	search.proquest.com	NA	85	2023-05-25T13:48:18Z	HTML	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	2	Conceptual representations can be altered to align with the current context given learning and task goals. One cognitive process, known as conceptual combination, allows for a unique …	https://search.proquest.com/openview/7ce9574b791ba50844011b0786194094/1?pq-origsite=gscholar&cbl=18750&diss=y	https://search.proquest.com/openview/7ce9574b791ba50844011b0786194094/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?q=related:FWjQUIRtXW0J:scholar.google.com/&scioq=%22alternate+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT1	1	1	1	0		0		
147	S Kühn, SM Ritter, BCN Müller…	The importance of the default mode network in creativity—A structural MRI study	2014	The Journal of …	Wiley Online Library	https://scholar.google.com/scholar?cites=18413986797393540491&as_sdt=2005&sciodt=2007&hl=en	4	2023-05-25T13:58:21Z	NA	10.1002/jocb.45	NA	NA	NA	NA	NA	NA	147	16.33	37	4	9	… Individuals performed the Alternative Uses task by which an individual's cognitive flexibility and the average uniqueness and average creativity of a participant's ideas were assessed. …	https://onlinelibrary.wiley.com/doi/abs/10.1002/jocb.45	https://onlinelibrary.wiley.com/doi/pdf/10.1002/jocb.45	https://scholar.google.com/scholar?q=related:i_VfRW6fi_8J:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
125	A Fink, D Schwab, I Papousek	Sensitivity of EEG upper alpha activity to cognitive and affective creativity interventions	2011	International Journal of Psychophysiology	Elsevier	https://scholar.google.com/scholar?cites=13321947134969166923&as_sdt=2005&sciodt=2007&hl=en	6	2023-05-25T13:58:21Z	HTML	NA	NA	NA	NA	NA	NA	NA	125	10.42	42	3	12	… ► EEG was recorded during performance of the Alternative Uses Task. ► Participants were stimulated by exposure to other people's ideas or positive mood induction. ► Creative …	https://www.sciencedirect.com/science/article/pii/S0167876011002686	https://www.sciencedirect.com/science/article/pii/S0167876011002686	https://scholar.google.com/scholar?q=related:S7xeKFYQ4bgJ:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
62	A Fink, EM Weiss, U Schwarzl, H Weber…	Creative ways to well-being: Reappraisal inventiveness in the context of anger-evoking situations	2017	Cognitive, Affective, & …	Springer	https://scholar.google.com/scholar?cites=12661003454044754381&as_sdt=2005&sciodt=2007&hl=en	7	2023-05-25T13:58:21Z	HTML	10.3758/s13415-016-0465-9	NA	NA	NA	NA	NA	NA	62	10.33	12	5	6	… also assessed during performance of the Alternative Uses task, requiring individuals to generate … After completing the handedness test, participants were seated in an acoustically and …	https://link.springer.com/article/10.3758/s13415-016-0465-9	https://link.springer.com/article/10.3758/s13415-016-0465-9	https://scholar.google.com/scholar?q=related:zdFUgo_rtK8J:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
50	A Berkovich-Ohana, J Glicksohn, TD Ben-Soussan…	Creativity is enhanced by long-term mindfulness training and is negatively correlated with trait default-mode-related low-gamma inter-hemispheric connectivity	2017	Mindfulness	Springer	https://scholar.google.com/scholar?cites=4508914151209610893&as_sdt=2005&sciodt=2007&hl=en	8	2023-05-25T13:58:21Z	HTML	10.1007/s12671-016-0649-y	NA	NA	NA	NA	NA	NA	50	8.33	13	4	6	… (Flexibility and Fluency) using the Alternative Uses task and (2) correlation between Alternative … (not age-matched, medicated, and left-handed), as well as after dividing the meditation …	https://link.springer.com/article/10.1007/s12671-016-0649-y	https://link.springer.com/article/10.1007/s12671-016-0649-y	https://scholar.google.com/scholar?q=related:ja6UAYjhkj4J:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
99	S Zmigrod, LS Colzato, B Hommel	Stimulating creativity: modulation of convergent and divergent thinking by transcranial direct current stimulation (tDCS)	2015	Creativity Research Journal	Taylor &Francis	https://scholar.google.com/scholar?cites=8745895787604625587&as_sdt=2005&sciodt=2007&hl=en	10	2023-05-25T13:58:21Z	NA	10.1080/10400419.2015.1087280	NA	NA	NA	NA	NA	NA	99	12.38	33	3	8	… over the posterior parietal cortex–PPC (Experiment2), while performing the Compound Remote Associative task (CRA) assessing convergent thinking and the Alternative Uses Task (…	https://www.tandfonline.com/doi/abs/10.1080/10400419.2015.1087280	https://www.tandfonline.com/doi/pdf/10.1080/10400419.2015.1087280	https://scholar.google.com/scholar?q=related:s0jCjuGpX3kJ:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
9	S Colombo, A Mazza, F Montagna, R Ricci…	Neurophysiological evidence in idea generation: differences between designers and engineers	2020	Proceedings of the …	cambridge.org	https://scholar.google.com/scholar?cites=13377185618177528591&as_sdt=2005&sciodt=2007&hl=en	13	2023-05-25T13:58:21Z	NA	NA	NA	NA	NA	NA	NA	NA	9	3	2	5	3	… tasks in literature is the Alternative Uses Task (AUT) proposed … ’ handedness, the Edinburgh Handedness Inventory was … about the role of handedness, but left-handed participants were …	https://www.cambridge.org/core/journals/proceedings-of-the-design-society-design-conference/article/neurophysiological-evidence-in-idea-generation-differences-between-designers-and-engineers/D593FF20B090CCF32E0CBC08F6254B53	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D593FF20B090CCF32E0CBC08F6254B53/S2633776220001612a.pdf/neurophysiological-evidence-in-idea-generation-differences-between-designers-and-engineers.pdf	https://scholar.google.com/scholar?q=related:D5PvwXFPpbkJ:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
6	F Bitsch, P Berger, A Fink, A Nagels, B Straube…	Antagonism between brain regions relevant for cognitive control and emotional memory facilitates the generation of humorous ideas	2021	Scientific reports	nature.com	https://scholar.google.com/scholar?cites=3300519883047653318&as_sdt=2005&sciodt=2007&hl=en	14	2023-05-25T13:58:21Z	HTML	NA	NA	NA	NA	NA	NA	NA	6	3	1	6	2	… Here, we use functional Magnetic Resonance Imaging, a humorous alternative uses task … were right-handed according to Edinburgh Handedness Inventory 61 . The study was approved …	https://www.nature.com/articles/s41598-021-89843-8	https://www.nature.com/articles/s41598-021-89843-8	https://scholar.google.com/scholar?q=related:xk8rw1jNzS0J:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
20	M Palmiero, N Srinivasan	Creativity and spatial ability: a critical evaluation	2015	Cognition, experience and creativity	researchgate.net	https://scholar.google.com/scholar?cites=1529435176763622132&as_sdt=2005&sciodt=2007&hl=en	19	2023-05-25T13:58:21Z	PDF	NA	NA	NA	NA	NA	NA	NA	20	2.5	10	2	8	… for a common word and the Alternative Uses Task, in which … word meaning task and the Alternative Uses Task, as well as … handedness issue, and, last but not least, the gender issue. …	https://www.researchgate.net/profile/Massimiliano-Palmiero/publication/274635544_Creativity_and_Spatial_Ability_A_critical_evaluation/links/5523fc860cf2b123c516b816/Creativity-and-Spatial-Ability-A-critical-evaluation.pdf	https://www.researchgate.net/profile/Massimiliano-Palmiero/publication/274635544_Creativity_and_Spatial_Ability_A_critical_evaluation/links/5523fc860cf2b123c516b816/Creativity-and-Spatial-Ability-A-critical-evaluation.pdf	https://scholar.google.com/scholar?q=related:9IL7oTClORUJ:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
65	ME Webb, DR Little, SJ Cropper, K Roze	The contributions of convergent thinking, divergent thinking, and schizotypy to solving insight and non-insight problems	2017	Thinking &Reasoning	Taylor &Francis	https://scholar.google.com/scholar?cites=11925294835697307220&as_sdt=2005&sciodt=2007&hl=en	20	2023-05-25T13:58:21Z	NA	10.1080/13546783.2017.1295105	NA	NA	NA	NA	NA	NA	65	10.83	16	4	6	… As the Alternative Uses Task measures verbal and creative fluency and flexibility, rather than associative thoughts, future investigations may benefit from word association tests (eg, the …	https://www.tandfonline.com/doi/abs/10.1080/13546783.2017.1295105	https://www.academia.edu/download/57018792/WEbb_et_al_T_R_2017.pdf	https://scholar.google.com/scholar?q=related:VM6JW3gof6UJ:scholar.google.com/&scioq=%22alternative+uses+task%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&hl=en&as_sdt=2007	AUT2	1	1	1	0		0		
