Cites	Authors	Title	Year	Source	Publisher	Abstract	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	FullTextURL	Abstract - Relevant?	Unique?	TTCT? (Does the study include new TTCT data?)	Lefties? (Were at least 3 lefties given the TTCT?)	Stats - can get ES for left vs. right?	Text - Relevant?	Details	Request?
0	J Bosch	Prenatal testosterone, hemispheric dominance and looseness of associations	2013	unipub.uni-graz.at		… leads to abnormal handedness and language lateralization. … hemispheric dominance in handedness and language … increased degree of right-handedness as well as a rightward …	http://unipub.uni-graz.at/obvugrhs/233858		214	2023-05-23 11:33:52									0	0	0	1		https://unipub.uni-graz.at/obvugrhs/content/titleinfo/233858/full.pdf	1	1	1	1	1	1	They gave 51 participants (whatever handedness) the AUT (modified - one response per item) and TTCT. FOr TTCT: Table 3.3., p. 31, presents beta coefficients and R^2 for a model with handedness and sex predicting TTCT Originality and Fluency. Figural Orig beta .10 p .494; Verbal Orig beta .20 p .175; Verbal Fluency beta .12 p .405. All positive beta; all in the direction of better creativity with greater right handedness. AUT: results not reported.	
0	KH Kim, J Lee	Creative and Gifted Education in Korea: Using the CATs Model to Illustrate How Creativity Can Grow into Innovation	2021	Handbook of Giftedness and Talent Development in …	Springer	… The creativity crisis: The decrease in creative thinking scores on the Torrance tests of creative thinking. Creativity Research Journal, 23, 285–295. https://doi.org/10.1080/ …	https://link.springer.com/content/pdf/10.1007/978-981-13-3041-4_50.pdf		189	2023-05-23 11:33:52		10.1007/978-981-13-3041-4_50							0	0	0	2	2		1	1	0			0		
67	DA Gansler, DW Moore, TM Susmaras, MW Jerram…	Cortical morphology of visual creativity	2011	Neuropsychologia	Elsevier	… Fifteen participants were right-handed and three were left-handed. Participants were between the ages of 25 and 52 (overall sample mean age = … Torrance tests of creative thinking …	https://www.sciencedirect.com/science/article/pii/S002839321100234X	https://scholar.google.com/scholar?cites=3657165670981819831&as_sdt=2005&sciodt=2007&hl=en	41	2023-05-23 11:33:52	HTML								67	5.58	13	5	12	https://www.sciencedirect.com/science/article/pii/S002839321100234X	1	1	1	1	0	0		
0	DW Tegano	Divergent thinking and hemisphericity	1981		vtechworks.lib.vt.edu	… correlates of handedness; b) the relationship between· handedness and educational and … From this limited repres.entation of theori,es it can be seen that the role of handedness in …	https://vtechworks.lib.vt.edu/handle/10919/76581		48	2023-05-23 11:33:52									0	0	0	1	42	https://vtechworks.lib.vt.edu/bitstream/handle/10919/76581/LD5655.V856_1981.T443.pdf?sequence=1	1	1	1	1	0	0		
303	H Takeuchi, Y Taki, H Hashizume, Y Sassa, T Nagase…	Failing to deactivate: the association between brain activity during a working memory task and creativity	2011	Neuroimage	Elsevier	… demonstrated in peer reviewed journals, as have the scores of the Torrance Tests of Creative Thinking (TTCT) (for the associations between creative … Torrance tests of creative thinking …	https://www.sciencedirect.com/science/article/pii/S1053811910015302	https://scholar.google.com/scholar?cites=4310384218632367658&as_sdt=2005&sciodt=2007&hl=en	56	2023-05-23 11:33:52	HTML								303	25.25	51	6	12	https://www.sciencedirect.com/science/article/pii/S1053811910015302	1	1	1	1	0	0		
23	C Rominger, I Papousek, A Fink…	Enhancement of figural creativity by motor activation: effects of unilateral hand contractions on creativity are moderated by positive schizotypy	2014	Laterality: Asymmetries of …	Taylor &Francis	… The relative disadvantage of the left hand in right-handers is thought to be due to the delay … Notably, mixed-handers, using their left hands more often than strong right-handers, scored …	https://www.tandfonline.com/doi/abs/10.1080/1357650X.2013.858725	https://scholar.google.com/scholar?cites=10193858532634779952&as_sdt=2005&sciodt=2007&hl=en	61	2023-05-23 11:33:52		10.1080/1357650X.2013.858725							23	2.56	6	4	9		1	1	1	1	0	0		
0	A Moreno Pueyo, EM Lira Rodríguez, A Gracia Bernal	Creativity, art and laterality as tools for learning the language in children	2020		zaguan.unizar.es	… left-handed homogeneous and the crossed laterality students obtained the worst rating. However, in this study the lefthanded … of the Mayolas study, left-handed people were only 3% of …	https://zaguan.unizar.es/record/89996		99	2023-05-23 11:33:52									0	0	0	3	3	https://zaguan.unizar.es/record/89996/files/texto_completo.pdf	1	1	1	1	0	0		
0	T Bernanka	Basic Numerical Abilities, Working Memory, Creativity and the Ability to Solve Complex Arithmetic.	2014		search.proquest.com	… Three participants were left handed and 34 were right handed. … However, there was a trend towards significance: the “school” group scored higher in Torrance tests for creativity more …	https://search.proquest.com/openview/d84aee18bbeefb46dfa3af93acff2b8c/1?pq-origsite=gscholar&cbl=2026366&diss=y		109	2023-05-23 11:33:52	BOOK								0	0	0	1	9	https://search.proquest.com/openview/d84aee18bbeefb46dfa3af93acff2b8c/1?pq-origsite=gscholar&cbl=2026366&diss=y	1	1	1	1	0	0		
0	WJ Nikola-Lisa	Motor, perceptual-motor and cognitive factors responsible for differentiating between above-and below-average legibility scores of second grade students	1986		scholarworks.montana.edu	… , gender, handedness and … handedness proved to be significant (p<.05). No significant (p<.05) interactions were found between creativity and cognitive style, creativity and handedness…	https://scholarworks.montana.edu/xmlui/bitstream/handle/1/5929/31762100152493.pdf?sequence=1		112	2023-05-23 11:33:52	PDF								0	0	0	1	37	https://scholarworks.montana.edu/xmlui/bitstream/handle/1/5929/31762100152493.pdf?sequence=1	1	1	1	1	0	0	Many tests, none relevant	
0	WW Smith	Creativity and handwriting: a study of the relationship between handwriting and creativity in fifth-grade children.	1986		scholarworks.umass.edu	… However, correlation of handwriting scores with scores on the Torrance Tests of Creative Thinking was significant at .27 (p = .05). The highest correlation obtained was between the …	https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=5625&context=dissertations_1		125	2023-05-23 11:33:52	PDF								0	0	0	1	37	https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=5625&context=dissertations_1	1	1	1	1	0	0		
56	K Japardi, S Bookheimer, K Knudsen, DG Ghahremani…	Functional magnetic resonance imaging of divergent and convergent thinking in Big-C creativity	2018	Neuropsychologia	Elsevier	… Data from these additional procedures are the subject of separate publications, but we include here results from the Torrance Tests of Creative Thinking (TTCT; including the Unusual …	https://www.sciencedirect.com/science/article/pii/S0028393218300745	https://scholar.google.com/scholar?cites=9227193274006262209&as_sdt=2005&sciodt=2007&hl=en	127	2023-05-23 11:33:52	HTML								56	11.2	11	5	5	https://www.sciencedirect.com/science/article/pii/S0028393218300745	1	1	1	1	0	0		
21	W Owens, J Limber	Lateral eye movement as a measure of cognitive ability and style	1983	Perceptual and Motor Skills	journals.sagepub.com	… Personality correlates of lateral eye movements and handedness. Per- … TORRANCE, EP Norms-technical manual: Torrance Tests of Creative Thinking. Lex- …	https://journals.sagepub.com/doi/pdf/10.2466/pms.1983.56.3.711	https://scholar.google.com/scholar?cites=17666504122688851985&as_sdt=2005&sciodt=2007&hl=en	143	2023-05-23 11:33:52	PDF	10.2466/pms.1983.56.3.711							21	0.53	11	2	40	https://journals.sagepub.com/doi/pdf/10.2466/pms.1983.56.3.711	1	1	1	1	0	0		
0	JM FATUR	Client perception of three counseling techniques based on dominant thinking style	1984		search.proquest.com	… left or right handedness and hemispheric functioning has … of all left-handers are lateralized similarly to right-handers, with … in their responses on the Torrance tests of Thinking Creatively …	https://search.proquest.com/openview/8df22d188ca2d48dc7fa3d834d8b70c9/1?pq-origsite=gscholar&cbl=18750&diss=y		159	2023-05-23 11:33:52	BOOK								0	0	0	1	39	https://search.proquest.com/openview/8df22d188ca2d48dc7fa3d834d8b70c9/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	1	0	0		
7	H Xie, RE Beaty, S Jahanikia, C Geniesse…	Spontaneous and deliberate modes of creativity: Multitask eigen-connectivity analysis captures latent cognitive modes during creative thinking	2021	NeuroImage	Elsevier	… After controlling for age, handedness, and gender, we found that the weights of EC1 during the AUT were significantly positively correlated with deliberate thinking score (r = 0.45, p = …	https://www.sciencedirect.com/science/article/pii/S1053811921008041	https://scholar.google.com/scholar?cites=308920246110525321&as_sdt=2005&sciodt=2007&hl=en	160	2023-05-23 11:33:52	HTML								7	3.5	1	5	2	https://www.sciencedirect.com/science/article/pii/S1053811921008041	1	1	1	1	0	0		
1	WJ Owens	LATERAL EYE MOVEMENT AS AN INDICATOR OF COGNITIVE ABILITY AND STYLE.	1978		search.proquest.com	… Individual sessions were used for asking the LEM ques tions and ascertaining handedness. (… 11) Sex and handedness in relation to the direction of LEM. Neither sex nor handedness …	https://search.proquest.com/openview/0fcde6957f4bc3d11091b7c18d971eb0/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=7013831624110667935&as_sdt=2005&sciodt=2007&hl=en	172	2023-05-23 11:33:52	BOOK								1	0.02	1	1	45	https://search.proquest.com/openview/0fcde6957f4bc3d11091b7c18d971eb0/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	1	0	0		
0	SW Mead	Creative thinking, vividness of imagery and simultaneous information processing in children who have been diagnosed ADHD: The organismic child	1995		search.proquest.com	… The intent is to determine (1) how children who have been diagnosed ADHD compare with the norms established from the general population of children on the Torrance Tests of …	https://search.proquest.com/openview/be15d49ad9e518ebc8eb2167071c0dee/1?pq-origsite=gscholar&cbl=18750&diss=y		193	2023-05-23 11:33:52	BOOK								0	0	0	1	28	https://search.proquest.com/openview/be15d49ad9e518ebc8eb2167071c0dee/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	1	0	0		
0	KS Minor	The role of atypical semantic activation in schizotypy: implications for odd speech and creativity	2012		search.proquest.com	… to determine if the schizotypy and nonschizotypy groups differed in age, gender, ethnicity, grade point average, hours worked, current enrolled hours in college, or handedness. These …	https://search.proquest.com/openview/ffc5c3fd3eef007d4c8e2f1b08231870/1?pq-origsite=gscholar&cbl=18750&diss=y		243	2023-05-23 11:33:52	BOOK								0	0	0	1	11	https://search.proquest.com/openview/ffc5c3fd3eef007d4c8e2f1b08231870/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	1	0	0		
4	DA Camfield	The biological basis of openness to experience	2008		researchbank.swinburne.edu.au	11.1 Summary 220 11.2 Implications for a neurobiological model of Openness 223 11.3 Limitations of the present study 224 11.3. 1 Range limiting in Openness and Intelligence 224 …	https://researchbank.swinburne.edu.au/items/918ada05-9cf7-45fb-8630-3113cf0dfcb4/1/David%20Alan%20Camfield%20Thesis.pdf	https://scholar.google.com/scholar?cites=17031335562107235679&as_sdt=2005&sciodt=2007&hl=en	252	2023-05-23 11:33:52	BOOK								4	0.27	4	1	15	https://researchbank.swinburne.edu.au/items/918ada05-9cf7-45fb-8630-3113cf0dfcb4/1/David%20Alan%20Camfield%20Thesis.pdf	1	1	1	1	0	0		
0	EC MITEI	DETERMINANTS OF CREATIVE PLAY ACTIVITIES IN PUBLIC PRE-SCHOOLS IN BURETI SUB-COUNTY, KENYA	2021		ir-library.ku.ac.ke	This chapter outlines the background of the study, statement of the problem, purpose of the study, research objectives and research questions. Additionally, it presents significance of …	https://ir-library.ku.ac.ke/bitstream/handle/123456789/23544/Determinants%20of%20Creative%20Play%20...pdf?sequence=1		342	2023-05-23 11:33:52	PDF								0	0	0	1	2	https://ir-library.ku.ac.ke/bitstream/handle/123456789/23544/Determinants%20of%20Creative%20Play%20...pdf?sequence=1	1	1	0			0		
6	J Hahm, KK Kim, SH Park…	Brain areas subserving Torrance tests of creative thinking: An functional magnetic resonance imaging study	2017	Dementia and …	synapse.koreamed.org	Background and Purpose Torrance Tests of Creative Thinking (TTCT) is a well-known and commonly used measure of creativity. However, the TTCT-induced creative hemodynamic …	https://synapse.koreamed.org/articles/1120146	https://scholar.google.com/scholar?cites=18442265316157314636&as_sdt=2005&sciodt=2007&hl=en	3	2023-05-23 11:33:52	HTML								6	1	2	4	6	https://synapse.koreamed.org/articles/1120146	1	1	1	0		0		
22	CA Alt	… disorder (ADHD), personality type and creativity in adults using the Myers-Briggs Type Indicator (MBTI) and the Torrance Tests of Creative Thinking (TTCT)	1999		search.proquest.com	The present study employed the Myers-Briggs Type Indicator (MBTI) Form G and the Torrance Tests of Creative Thinking (TTCT) Figural A to assess and evaluate whether adults who …	https://search.proquest.com/openview/b9e1c713f14e2e33c2fde81f71310462/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=1972263344733464206&as_sdt=2005&sciodt=2007&hl=en	4	2023-05-23 11:33:52	BOOK								22	0.92	22	1	24	https://search.proquest.com/openview/b9e1c713f14e2e33c2fde81f71310462/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
102	DW Moore, RA Bhadelia, RL Billings, C Fulwiler…	Hemispheric connectivity and the visual–spatial divergent-thinking component of creativity	2009	Brain and …	Elsevier	… Volumetric magnetic resonance imaging (MRI) analyses and the Torrance Tests of Creative Thinking … Extrapolating to both right and left-handers, it is possible there is a general positive …	https://www.sciencedirect.com/science/article/pii/S0278262609000402	https://scholar.google.com/scholar?cites=5450970415566342324&as_sdt=2005&sciodt=2007&hl=en	8	2023-05-23 11:33:52	HTML								102	7.29	20	5	14	https://www.sciencedirect.com/science/article/pii/S0278262609000402	1	1	1	0		0		
32	J Peña, A Sampedro, N Ibarretxe-Bilbao…	Improvement in creativity after transcranial random noise stimulation (tRNS) over the left dorsolateral prefrontal cortex	2019	Scientific reports	Springer	… subtests from the torrance tests of Creative thinking. … handedness is to some extent related to creativity38, so the Edinburgh Handedness Inventory39 was used to assess handedness…	https://link.springer.com/content/pdf/10.1038/s41598-019-43626-4.pdf	https://scholar.google.com/scholar?cites=1673112190141032419&as_sdt=2005&sciodt=2007&hl=en	9	2023-05-23 11:33:52	PDF	10.1038/s41598-019-43626-4							32	8	8	4	4	https://link.springer.com/content/pdf/10.1038/s41598-019-43626-4.pdf	1	1	1	0		0		
174	MC Duff, J Kurczek, R Rubin, NJ Cohen…	Hippocampal amnesia disrupts creative thinking	2013	…	Wiley Online Library	… We examined creative thinking, as measured by verbal and figural forms of the torrance tests of creative thinking (TTCT), in a group of participants with hippocampal damage and severe …	https://onlinelibrary.wiley.com/doi/abs/10.1002/hipo.22208	https://scholar.google.com/scholar?cites=3546846188190533839&as_sdt=2005&sciodt=2007&hl=en	10	2023-05-23 11:33:52		10.1002/hipo.22208							174	17.4	35	5	10	https://onlinelibrary.wiley.com/doi/pdf/10.1002/hipo.22208	1	1	1	0		0		
6	BB Williams	The Relationship Between Lateral Dominance and Divergent Cognitive Thought.	1976		ERIC	… cognitive thought, the Torrance Tests of Creative Thinking, … their mean scores on the Torrance Tests of Creative Thinking at … basis to students designated as left-handed by their teachers. …	https://eric.ed.gov/?id=ED133086	https://scholar.google.com/scholar?cites=14749372640851438523&as_sdt=2005&sciodt=2007&hl=en	11	2023-05-23 11:33:52									6	0.13	6	1	47	https://files.eric.ed.gov/fulltext/ED133086.pdf	1	1	1	0		0		
106	JR Kershner, G Ledger	Effect of sex, intelligence, and style of thinking on creativity: A comparison of gifted and average IQ children.	1985	Journal of personality and social …	psycnet.apa.org	… 9–11) were compared to 30 average children on Torrance Tests of Creative Thinking (1974) and left … The gifted children were matched on handedness, age, and sex to 30 children with …	https://psycnet.apa.org/record/1985-19822-001	https://scholar.google.com/scholar?cites=13802626346727237360&as_sdt=2005&sciodt=2007&hl=en	12	2023-05-23 11:33:52									106	2.79	53	2	38	https://search.pdh.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&db=pdh&jrnl=00223514&asa=N&AN=1985-19822-001&h=CMFxy23UW34BRm0%2FbxCUamsTp6sLqc4Cs2L1Xl%2FkApmwnK%2BJ7%2BizmH0iIqpVkfHNlwUz7QYxzvJDJvfit%2Brj7A%3D%3D&crl=f	1	1	1	0		0		
7	SH Park, KK Kim, KH Lee	A Neuro-educational Study of the Development of the Creativity-based Teaching Program and its Effect	2015	Procedia-Social and Behavioral Sciences	Elsevier	… Neuroimaging tools such as fMRI were used to identify effects of the program on pre-service teachers’ neural activations on divergent thinking measured primarily by the Torrance Tests …	https://www.sciencedirect.com/science/article/pii/S187704281502460X	https://scholar.google.com/scholar?cites=8656802588470018518&as_sdt=2005&sciodt=2007&hl=en	15	2023-05-23 11:33:52									7	0.88	2	3	8	https://www.sciencedirect.com/science/article/pii/S187704281502460X/pdf?md5=77a4b3647d10f0f8efdb12af1bb28f8e&pid=1-s2.0-S187704281502460X-main.pdf	1	1	1	0		0		
7	YM Binik, L Fainsilber, M Spevack	Obsessionality and creativity.	1981	Canadian Journal of …	psycnet.apa.org	Studied creativity in 15 obsessives, 16 phobics, and 39 nonpsychiatric (as measured by the Leyton Obsessional Inventory) university students. Ss were tested on Wallach-Kogan Tests …	https://psycnet.apa.org/journals/cbs/13/1/25/	https://scholar.google.com/scholar?cites=12993224578046772536&as_sdt=2005&sciodt=2007&hl=en	16	2023-05-23 11:33:52									7	0.17	2	3	42	https://search.pdh.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&db=pdh&jrnl=0008400X&asa=N&AN=1982-05875-001&h=%2FSO7rzxGplaohpnbt01WBySsE6FC%2B3zhdm%2Bg8Gu%2FgSdEnz3fiC7W2DL4gAuHfCtnjRw%2B9cgoZJh6vbXXTcCC3A%3D%3D&crl=f	1	1	1	0		0		
63	AM Poreh, D Whitman, TP Ross	Creative thinking abilities and hemispheric asymmetry in schizotypal college students	1993	Current Psychology	Springer	… -report schizotypal personality inventories and a handedness inventory. The mean age of the … The first main effect, the relationship between group membership and the Torrance Tests of …	https://link.springer.com/article/10.1007/BF02686814	https://scholar.google.com/scholar?cites=10655988495769694961&as_sdt=2005&sciodt=2007&hl=en	18	2023-05-23 11:33:52		10.1007/BF02686814							63	2.1	21	3	30	https://www.academia.edu/download/86159649/bf0268681420220519-1-ko2o29.pdf	1	1	1	0		0		
1	B Hokanson	Circadian rhythms and creativity	2008	31st Annual Proceedings, Florida: Nova …	members.aect.org	… This research used the Torrance Tests of Creative Thinking (1974a), which … handedness, and nutrition could have an impact on creative performance as evidenced by the Torrance Tests…	https://members.aect.org/pdf/Proceedings/proceedings08/2008/08_13.pdf	https://scholar.google.com/scholar?cites=2915134539547669896&as_sdt=2005&sciodt=2007&hl=en	19	2023-05-23 11:33:52	PDF								1	0.07	1	1	15	https://members.aect.org/pdf/Proceedings/proceedings08/2008/08_13.pdf	1	1	1	0		0		
63	CY Piaw	Effects of gender and thinking style on student's creative thinking ability	2014	Procedia-Social and Behavioral Sciences	Elsevier	… It was used to determine the brain thinking style - the tendency of a respondent to think and learn with either his left brain, right brain or whole brain, (2) The Torrance Tests of Creative …	https://www.sciencedirect.com/science/article/pii/S1877042814011045	https://scholar.google.com/scholar?cites=16627170578705422555&as_sdt=2005&sciodt=2007&hl=en	20	2023-05-23 11:33:52									63	7	63	1	9	https://www.sciencedirect.com/science/article/pii/S1877042814011045/pdf?md5=e7622a6125533fee2ed4a6543b07737d&pid=1-s2.0-S1877042814011045-main.pdf&_valck=1	1	1	1	0		0		
1	MJ Finton	An application of computational theory to the prediction of creativity in college students	1995		search.proquest.com	… to scores on the Figural battery of the Torrance Tests of Creative Thinking. Twenty-seven male … Only subjects with high right-handedness scores on the Edinburgh Handedness Inventory …	https://search.proquest.com/openview/9173061d893e914f96ed31ae02e83041/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=4687345316405546417&as_sdt=2005&sciodt=2007&hl=en	24	2023-05-23 11:33:52	BOOK								1	0.04	1	1	28	https://search.proquest.com/openview/9173061d893e914f96ed31ae02e83041/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
13	ME Gross, DB Araujo, CM Zedelius, JW Schooler	Is perception the missing link between creativity, curiosity and schizotypy? Evidence from spontaneous eye-movements and responses to auditory oddball …	2019	Neuroimage	Elsevier	… Creativity was measured with the figural portion of the Torrance Tests of Creative Thinking (TTCT) and two self-report scales. Schizotypy and curiosity were measured with self-reports. …	https://www.sciencedirect.com/science/article/pii/S1053811919307165	https://scholar.google.com/scholar?cites=16813424215250299915&as_sdt=2005&sciodt=2007&hl=en	25	2023-05-23 11:33:52	HTML								13	3.25	3	4	4	https://www.sciencedirect.com/science/article/pii/S1053811919307165	1	1	1	0		0		
