task,es_type,measure,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
all,all,all,56,13,0.046760218209773524,0.057238738136229414,0.0677172580626853,9.511718501579729e-27,".89 [.86, .91]",fixed,All studies,
all,all,all,56,13,-0.20723136441826268,-0.09569505198676093,0.015841260444740837,0.09264748766028594,".89 [.86, .91]",random,All studies,
all,beta,all,3,1,0.03531077058811528,0.06091264866530001,0.08651452674248475,3.1133465924289226e-6,".92 [.79, .97]",fixed,All studies by ES type,
all,d,all,31,7,-0.16907077432737094,-0.09974924685497209,-0.03042771938257323,0.00479843208064671,".71 [.59, .80]",fixed,All studies by ES type,
all,d_p,all,2,1,-1.2942032184415744,-1.1569379888268376,-1.0196727592121009,2.6546787726055045e-61,".96 [.87, .98]",fixed,All studies by ES type,
all,rho,all,17,3,-0.017343291063276013,0.030434330601354302,0.07821195226598462,0.2118493012571358,".00 [.00, .51]",fixed,All studies by ES type,
all,rho_p,all,3,1,0.06018603323880531,0.07223981119711553,0.08429358915542576,7.376926109375831e-32,".50 [.00, .86]",fixed,All studies by ES type,
all,beta,all,3,1,-0.23016783539444763,0.5203153876995733,1.2707986107935942,0.17419189031779292,".92 [.79, .97]",random,All studies by ES type,
all,d,all,31,7,-0.3349545139306382,-0.17967602005045333,-0.02439752617026847,0.02333434758218157,".71 [.59, .80]",random,All studies by ES type,
all,d_p,all,2,1,-1.8668923065061382,-1.2043602701307887,-0.5418282337554393,3.668492875365158e-4,".96 [.87, .98]",random,All studies by ES type,
all,rho,all,17,3,-0.017343291063276013,0.030434330601354302,0.07821195226598462,0.2118493012571358,".00 [.00, .51]",random,All studies by ES type,
all,rho_p,all,3,1,0.05500745078880702,0.07210312988924182,0.08919880898967662,1.3807722528817279e-16,".50 [.00, .86]",random,All studies by ES type,
all,all,Appropriateness,2,2,-0.5726844422299984,-0.09752981172926146,0.3776248187714754,0.6874629285610993,".89 [.60, .97]",fixed,All studies by measure,
all,all,Elaboration,7,7,-0.5509627271602714,-0.4471357229041968,-0.3433087186481222,3.1551252689853094e-17,".96 [.94, .98]",fixed,All studies by measure,
all,all,Flexibility,9,6,-0.11570305598630404,-0.026319205565198033,0.06306464485590796,0.563862269463908,".54 [.01, .78]",fixed,All studies by measure,
all,all,Fluency,15,11,0.05670178067292749,0.07640874855971995,0.0961157164465124,2.978262448398284e-14,".58 [.25, .76]",fixed,All studies by measure,
all,all,Originality,13,10,0.04595974943248582,0.06594609059194405,0.08593243175140228,9.99579158017268e-11,".92 [.89, .95]",fixed,All studies by measure,
all,all,Appropriateness,2,2,-1.893126712716331,-0.3447136275624017,1.2036994575915276,0.6625939390993565,".89 [.60, .97]",random,All studies by measure,
all,all,Elaboration,7,7,-0.9917182527479884,-0.48321496043875567,0.025288331870477077,0.06253360439836445,".96 [.94, .98]",random,All studies by measure,
all,all,Flexibility,9,6,-0.20617178550797674,-0.06252856251349645,0.08111466048098384,0.3935586992446165,".54 [.01, .78]",random,All studies by measure,
all,all,Fluency,15,11,-0.04996134565946002,0.04059640512226764,0.13115415590399532,0.3795975197860959,".58 [.25, .76]",random,All studies by measure,
all,all,Originality,13,10,-0.41232342507755426,-0.11268172292056976,0.18695997923641472,0.4610895042027367,".92 [.89, .95]",random,All studies by measure,
all,d,Appropriateness,2,2,-0.5726844422299984,-0.09752981172926146,0.3776248187714754,0.6874629285610993,".89 [.60, .97]",fixed,"All studies by measure, ES type",
all,d,Elaboration,4,4,-0.783378105702848,-0.5423120533898258,-0.30124600107680355,1.0374591199438017e-5,".69 [.09, .89]",fixed,"All studies by measure, ES type",
all,d_p,Elaboration,1,1,-1.7547262348079204,-1.544575762374344,-1.3344252899407674,4.781686241831911e-47,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,rho,Elaboration,2,2,-0.08402312420259395,0.053450578976469994,0.19092428215553392,0.44603287955512894,".00 [NA, NA]",fixed,"All studies by measure, ES type",
